flip_angle_deg,refocusing_angle_deg,tr_ms,te_ms,bandwidth_khz,sequence_factor,max_relative_sar,mean_relative_sar,artifact_risk_proxy,snr_preservation_proxy,sar_rank_proxy,artifact_control_proxy,optimization_score
90.0,110.0,5000.0,12.0,320.0,0.55,0.0001617509697098285,6.787311576772481e-05,0.625,0.9882117688026186,0.8972993786180892,0.6153846153846154,0.8540944048650795
90.0,110.0,5000.0,8.0,200.0,0.55,0.0001617509697098285,6.787311576772481e-05,0.6666666666666666,1.25,0.8972993786180892,0.6000000000000001,0.8537847203781401
70.0,130.0,4200.0,8.0,200.0,0.45,0.0001331158564426005,5.585739927482791e-05,0.6666666666666666,0.9722222222222222,0.9154806796562269,0.6000000000000001,0.8536329725119688
80.0,110.0,5000.0,8.0,200.0,0.7,0.0001626586599741131,6.825399759691209e-05,0.6666666666666666,1.1111111111111112,0.896723056165699,0.6000000000000001,0.8535253752745645
80.0,110.0,5000.0,8.0,320.0,0.55,0.0001278032286791131,5.3628140449291095e-05,0.41666666666666663,0.8784104611578832,0.9188538306308668,0.7058823529411765,0.8534779503665492
90.0,110.0,3500.0,8.0,320.0,0.45,0.00018905955948866904,7.933221786515787e-05,0.41666666666666663,0.9354143466934853,0.879960305664483,0.7058823529411765,0.8530770297923571
90.0,120.0,5000.0,8.0,320.0,0.7,0.00024499621940776706,0.00010280407150276005,0.41666666666666663,0.9882117688026186,0.8444444180217753,0.7058823529411765,0.8529341069858787
90.0,110.0,4200.0,8.0,320.0,0.7,0.00024507721536792815,0.00010283805022481829,0.41666666666666663,0.9882117688026186,0.8443930039113478,0.7058823529411765,0.8529109706361861
90.0,150.0,5000.0,8.0,320.0,0.45,0.0002460899413563311,0.00010326300252927467,0.41666666666666663,0.9882117688026186,0.8437499972476387,0.7058823529411765,0.8526216176375172
70.0,130.0,5000.0,8.0,200.0,0.55,0.0001366656069876626,5.7346933317603543e-05,0.6666666666666666,0.9722222222222222,0.9132268259759851,0.6000000000000001,0.85261873835586
70.0,120.0,4200.0,8.0,200.0,0.55,0.000138629533466883,5.817101555294357e-05,0.6666666666666666,0.9722222222222222,0.9119798851706028,0.6000000000000001,0.8520576149934379
90.0,110.0,5000.0,10.0,320.0,0.7,0.00020586485334206372,8.638395229354501e-05,0.5208333333333334,0.9882117688026186,0.869290138258378,0.6575342465753424,0.8520276545008914
80.0,120.0,5000.0,10.0,200.0,0.45,0.00012444252206478268,5.22179325344041e-05,0.8333333333333334,1.1111111111111112,0.920987653831679,0.5454545454545454,0.8508080805878919
70.0,120.0,5000.0,10.0,200.0,0.45,9.527630027150735e-05,3.997935709776357e-05,0.8333333333333334,0.9722222222222222,0.9395061686803823,0.5454545454545454,0.850808078936475
70.0,110.0,4200.0,10.0,200.0,0.45,9.530780516797677e-05,3.999257387476973e-05,0.8333333333333334,0.9722222222222222,0.9394861700226539,0.5454545454545454,0.8507990795404973
80.0,110.0,4200.0,10.0,200.0,0.45,0.00012448366032913327,5.223520201980136e-05,0.8333333333333334,1.1111111111111112,0.9209615229128139,0.5454545454545454,0.8507963216744027
80.0,130.0,4200.0,8.0,200.0,0.45,0.00017386561376042664,7.295660179806873e-05,0.6666666666666666,1.1111111111111112,0.8896074203486436,0.6000000000000001,0.8503233391568896
70.0,110.0,5000.0,10.0,200.0,0.55,9.784934809431434e-05,4.105904372408986e-05,0.8333333333333334,0.9722222222222222,0.9378724660550171,0.5454545454545454,0.8500729127550607
